ID,group,species,species_phylo,experiment,temp,b,L,log10_L,mass_mid.g,min_mass.g,max_mass.g,L_state,study_id
370,air-breather,Crotalus adamanteus,Crotalus adamanteus,cada_dorc,15,0.99388,0.008099596,-2.091536643,1995.26235,801.3941,4967.683,standard MR,18
371,air-breather,Crotalus adamanteus,Crotalus adamanteus,cada_dorc,20,0.9895,0.013836286,-1.85898047,1986.446774,801.3941,4923.883,standard MR,18
372,air-breather,Crotalus adamanteus,Crotalus adamanteus,cada_dorc,25,1.0416,0.030076642,-1.521770654,1995.26235,801.3941,4967.683,standard MR,18
373,air-breather,Crotalus adamanteus,Crotalus adamanteus,cada_dorc,30,1.0143,0.043688471,-1.359633154,2004.116925,801.3941,5011.872,standard MR,18
374,air-breather,Crotalus adamanteus,Crotalus adamanteus,cada_dorc,35,0.8913,0.07863761,-1.104369694,2004.116925,801.3941,5011.872,standard MR,18
375,air-breather,Epicrates cenchria,Epicrates cenchria,ecen_chap,20,0.562,0.025792,-1.58851498,167.0179631,35,797,resting,12
376,air-breather,Epicrates cenchria,Epicrates cenchria,ecen_chap,30,0.57,0.061839,-1.208737542,167.0179631,35,797,resting,12
377,air-breather,Epicrates cenchria,Epicrates cenchria,ecen_chap,34,0.558,0.099675,-1.001413756,167.0179631,35,797,resting,12
378,air-breather,Liophis miliaris,Erythrolamprus miliaris,lmil_abe,10,0.684,0.053166987,-1.274357951,28.3054765,2,400.6,resting,1
379,air-breather,Liophis miliaris,Erythrolamprus miliaris,lmil_abe,15,0.701,0.070476588,-1.15195513,28.3054765,2,400.6,resting,1
380,air-breather,Liophis miliaris,Erythrolamprus miliaris,lmil_abe,20,0.753,0.093870385,-1.027471401,28.3054765,2,400.6,resting,1
381,air-breather,Liophis miliaris,Erythrolamprus miliaris,lmil_abe,25,0.674,0.16242627,-0.789343729,28.3054765,2,400.6,resting,1
382,air-breather,Liophis miliaris,Erythrolamprus miliaris,lmil_abe,30,0.802,0.189457636,-0.722487886,28.3054765,2,400.6,resting,1
383,air-breather,Liophis miliaris,Erythrolamprus miliaris,lmil_abe,35,0.707,0.308545446,-0.510680859,28.3054765,2,400.6,resting,1
384,air-breather,Eryx colubrinus,Eryx colubrinus,ecol_chap,20,0.7,0.026706,-1.573391155,39.64088798,9.7,162,resting,12
385,air-breather,Eryx colubrinus,Eryx colubrinus,ecol_chap,30,0.762,0.066941,-1.174307804,39.64088798,9.7,162,resting,12
386,air-breather,Eryx colubrinus,Eryx colubrinus,ecol_chap,34,0.766,0.095959,-1.017914287,39.64088798,9.7,162,resting,12
387,air-breather,Helicops modestus,Helicops modestus,hmod_abe,10,0.557,0.064142192,-1.192856203,20.74945782,2.2,195.7,resting,1
388,air-breather,Helicops modestus,Helicops modestus,hmod_abe,15,0.78,0.071867731,-1.143466066,20.74945782,2.2,195.7,resting,1
389,air-breather,Helicops modestus,Helicops modestus,hmod_abe,20,0.585,0.128691779,-0.890449196,20.74945782,2.2,195.7,resting,1
390,air-breather,Helicops modestus,Helicops modestus,hmod_abe,25,0.56,0.154670751,-0.810591806,20.74945782,2.2,195.7,resting,1
391,air-breather,Helicops modestus,Helicops modestus,hmod_abe,30,0.585,0.198112265,-0.703088637,20.74945782,2.2,195.7,resting,1
392,air-breather,Helicops modestus,Helicops modestus,hmod_abe,35,0.643,0.254119058,-0.594962763,20.74945782,2.2,195.7,resting,1
393,air-breather,Heloderma horridum,Heloderma horridum,hhor_bec,25,0.69,0.039399722,-1.404506842,290.7177325,52.3,1616,standard MR,5
394,air-breather,Heloderma horridum,Heloderma horridum,hhor_bec,15,0.73,0.012358678,-1.908027983,290.7177325,52.3,1616,standard MR,5
395,air-breather,Heloderma suspectum,Heloderma suspectum,hsus_bec,25,0.67,0.046961812,-1.328255154,145.5087626,26.4,802,standard MR,5
396,air-breather,Heloderma suspectum,Heloderma suspectum,hsus_bec,15,0.65,0.012502825,-1.902991848,145.5087626,26.4,802,standard MR,5
397,air-breather,Hemidactylus flaviviridis,Hemidactylus flaviviridis,hflav_zari_wint,20,0.71,0.064833302,-1.188201859,3.376388603,1.2,9.5,resting,84
398,air-breather,Hemidactylus flaviviridis,Hemidactylus flaviviridis,hflav_zari_wint,25,0.72,0.157428249,-0.802917335,3.376388603,1.2,9.5,resting,84
399,air-breather,Hemidactylus flaviviridis,Hemidactylus flaviviridis,hflav_zari_wint,30,0.69,0.257768054,-0.588770907,3.376388603,1.2,9.5,resting,84
400,air-breather,Hemidactylus flaviviridis,Hemidactylus flaviviridis,hflav_zari_wint,35,0.69,0.364107053,-0.438770908,3.376388603,1.2,9.5,resting,84
401,air-breather,Hemidactylus flaviviridis,Hemidactylus flaviviridis,hflav_zari_sum,20,0.67,0.138100269,-0.859805475,2.078460969,0.4,10.8,resting,84
402,air-breather,Hemidactylus flaviviridis,Hemidactylus flaviviridis,hflav_zari_sum,25,0.69,0.153655943,-0.813450638,2.078460969,0.4,10.8,resting,84
403,air-breather,Hemidactylus flaviviridis,Hemidactylus flaviviridis,hflav_zari_sum,30,0.69,0.267023426,-0.573450636,2.078460969,0.4,10.8,resting,84
404,air-breather,Hemidactylus flaviviridis,Hemidactylus flaviviridis,hflav_zari_sum,35,0.7,0.388800471,-0.410273218,2.078460969,0.4,10.8,resting,84
405,air-breather,Lichanura trivirgata,Lichanura trivirgata,ltriv_chap,20,0.613,0.026379,-1.578741672,74.61903242,16,348,resting,12
406,air-breather,Lichanura trivirgata,Lichanura trivirgata,ltriv_chap,30,0.663,0.064254,-1.192099831,74.61903242,16,348,resting,12
407,air-breather,Lichanura trivirgata,Lichanura trivirgata,ltriv_chap,34,0.699,0.103591,-0.984677975,74.61903242,16,348,resting,12
408,air-breather,Python reticulatus,Malayopython reticulatus,pret_chap,20,0.807,0.018604,-1.730393669,2081.345719,152,28500,resting,12
409,air-breather,Python reticulatus,Malayopython reticulatus,pret_chap,30,0.752,0.053839,-1.268903015,2081.345719,152,28500,resting,12
410,air-breather,Python reticulatus,Malayopython reticulatus,pret_chap,34,0.752,0.078361,-1.10590003,2081.345719,152,28500,resting,12
411,air-breather,Morelia spilota,Morelia spilota,mspi_chap,20,0.772,0.020107,-1.696652722,467.4227209,108,2023,resting,12
412,air-breather,Morelia spilota,Morelia spilota,mspi_chap,30,0.835,0.058959,-1.229449891,467.4227209,108,2023,resting,12
413,air-breather,Morelia spilota,Morelia spilota,mspi_chap,34,0.738,0.086813121,-1.06141463,467.4227209,108,2023,resting,12
414,air-breather,Plethodon albagula,Plethodon albagula,palb_care,10,0.549,0.06416922,-1.19267324,1.661324773,0.6,4.6,standard MR,30
415,air-breather,Plethodon albagula,Plethodon albagula,palb_care,15,0.567,0.098122104,-1.008233148,1.661324773,0.6,4.6,standard MR,30
416,air-breather,Plethodon albagula,Plethodon albagula,palb_care,20,0.544,0.11654738,-0.933497485,1.661324773,0.6,4.6,standard MR,30
417,air-breather,Plethodon albagula,Plethodon albagula,palb_care,25,0.707,0.142580358,-0.845940299,1.661324773,0.6,4.6,standard MR,30
418,air-breather,Plethodon cinereus,Plethodon cinereus,pcin_homy,10,0.66172,0.044501581,-1.35162456,0.255051186,0.058482,1.112327,standard MR,36
419,air-breather,Plethodon cinereus,Plethodon cinereus,pcin_homy,15,0.58186,0.096892269,-1.013710874,0.254690571,0.0583916,1.110901,standard MR,36
420,air-breather,Plethodon cinereus,Plethodon cinereus,pcin_homy,20,0.74113,0.136828569,-0.863823215,0.255775761,0.05891608,1.110414,standard MR,36
421,air-breather,Plethodon cinereus,Plethodon cinereus,pcin_homy,25,0.60206,0.207763232,-0.682431307,0.255564339,0.05885646,1.109702,standard MR,36
422,air-breather,Plethodon cinereus,Plethodon cinereus,pcin_homy,30,0.79982,0.350070937,-0.455843943,0.255387688,0.05883859,1.108505,standard MR,36
423,air-breather,Pseudocordylus melanotus,Pseudocordylus melanotus,pmel_mcco,20,1.22,0.043991579,-1.35663045,47.22617117,32.0780944,69.52754786,standard MR,48
424,air-breather,Pseudocordylus melanotus,Pseudocordylus melanotus,pmel_mcco,22,1.08,0.048863424,-1.311016104,47.22607919,32.07177608,69.54097428,standard MR,48
425,air-breather,Pseudocordylus melanotus,Pseudocordylus melanotus,pmel_mcco,25,0.95,0.093618089,-1.028640228,47.18363883,32.03307639,69.49990523,standard MR,48
426,air-breather,Pseudocordylus melanotus,Pseudocordylus melanotus,pmel_mcco,32,1.08,0.150258097,-0.823162116,44.39731881,31.99358691,61.60990712,standard MR,48
427,air-breather,Ptyodactylus hasselquistii,Ptyodactylus hasselquistii,phass_zari_wint,20,0.7,0.078141209,-1.107119874,2.190604939,0.55,8.725,resting,85
428,air-breather,Ptyodactylus hasselquistii,Ptyodactylus hasselquistii,phass_zari_wint,25,0.74,0.15363943,-0.813497313,2.190604939,0.55,8.725,resting,85
429,air-breather,Ptyodactylus hasselquistii,Ptyodactylus hasselquistii,phass_zari_wint,30,0.62,0.243016074,-0.614365,2.190604939,0.55,8.725,resting,85
430,air-breather,Ptyodactylus hasselquistii,Ptyodactylus hasselquistii,phass_zari_wint,35,0.67,0.340928418,-0.467336797,2.190604939,0.55,8.725,resting,85
431,air-breather,Ptyodactylus hasselquistii,Ptyodactylus hasselquistii,phass_zari_sum,20,0.79,0.179511179,-0.745908501,2.42948122,0.581,10.159,resting,85
432,air-breather,Ptyodactylus hasselquistii,Ptyodactylus hasselquistii,phass_zari_sum,25,0.73,0.186621075,-0.729039313,2.42948122,0.581,10.159,resting,85
433,air-breather,Ptyodactylus hasselquistii,Ptyodactylus hasselquistii,phass_zari_sum,30,0.72,0.306976798,-0.512894448,2.42948122,0.581,10.159,resting,85
434,air-breather,Ptyodactylus hasselquistii,Ptyodactylus hasselquistii,phass_zari_sum,35,0.75,0.466305951,-0.331329042,2.42948122,0.581,10.159,resting,85
435,air-breather,Python curtus,Python curtus,pcur_chap,20,0.886,0.01128,-1.9476909,1459.791081,502,4245,resting,12
436,air-breather,Python curtus,Python curtus,pcur_chap,30,0.864,0.029424,-1.531298288,1459.791081,502,4245,resting,12
437,air-breather,Python curtus,Python curtus,pcur_chap,34,0.828,0.042933,-1.367208764,1459.791081,502,4245,resting,12
438,air-breather,Python molurus,Python molurus,pmol_chap,20,0.736,0.013816,-1.859617675,2718.492229,109,67800,resting,12
439,air-breather,Python molurus,Python molurus,pmol_chap,30,0.714,0.03943,-1.404173223,2718.492229,109,67800,resting,12
440,air-breather,Python molurus,Python molurus,pmol_chap,34,0.726,0.05676,-1.245957613,2718.492229,109,67800,resting,12
441,air-breather,Python regius,Python regius,preg_chap,20,0.575,0.020097,-1.696868767,256.5794224,43,1531,resting,12
442,air-breather,Python regius,Python regius,preg_chap,30,0.64,0.050055,-1.300552534,272.2719229,43,1724,resting,12
443,air-breather,Python regius,Python regius,preg_chap,34,0.658,0.072442,-1.140009568,263.7688382,43,1618,resting,12
444,air-breather,Python sebae,Python sebae,pseb_chap,20,0.783,0.016032,-1.795012296,1793.87848,100,32180,resting,12
445,air-breather,Python sebae,Python sebae,pseb_chap,30,0.757,0.043289,-1.363622447,1793.87848,100,32180,resting,12
446,air-breather,Python sebae,Python sebae,pseb_chap,34,0.735,0.062488,-1.204203375,1793.87848,100,32180,resting,12
447,air-breather,Rana muscosa,Rana muscosa,rmuc_brad,4,0.832,0.01346,-1.87095494,7.694153625,1.6,37,resting,8
448,air-breather,Rana muscosa,Rana muscosa,rmuc_brad,15,0.853,0.054524,-1.263412291,7.694153625,1.6,37,resting,8
449,air-breather,Tupinambis merianae,Salvator merianae,tmer_tol_sum,17,0.77,0.076294966,-1.117504116,193.6491673,10,3750,standard MR,69
450,air-breather,Tupinambis merianae,Salvator merianae,tmer_tol_sum,25,0.74,0.119564763,-0.922396793,193.6491673,10,3750,standard MR,69
451,air-breather,Tupinambis merianae,Salvator merianae,tmer_tol_sum,30,0.7,0.155948599,-0.807018522,193.6491673,10,3750,standard MR,69
452,air-breather,Tupinambis merianae,Salvator merianae,tmer_tol_aug,17,0.85,0.031011213,-1.508481246,306.5941943,40,2350,standard MR,69
453,air-breather,Tupinambis merianae,Salvator merianae,tmer_tol_aug,25,0.81,0.048503602,-1.314226008,306.5941943,40,2350,standard MR,69
454,air-breather,Tupinambis merianae,Salvator merianae,tmer_tol_aug,30,0.83,0.078100265,-1.107347493,306.5941943,40,2350,standard MR,69
455,air-breather,Tupinambis merianae,Salvator merianae,tmer_tol_wint,17,0.83,0.025753921,-1.589156641,324.0370349,30,3500,standard MR,69
456,air-breather,Tupinambis merianae,Salvator merianae,tmer_tol_wint,25,0.82,0.04745851,-1.323685901,324.0370349,30,3500,standard MR,69
457,air-breather,Tupinambis merianae,Salvator merianae,tmer_tol_wint,30,0.88,0.073130243,-1.135902983,324.0370349,30,3500,standard MR,69
458,air-breather,Tupinambis merianae,Salvator merianae,tmer_tol_spri,17,0.59,0.036265322,-1.440508462,920.7605552,270,3140,standard MR,69
459,air-breather,Tupinambis merianae,Salvator merianae,tmer_tol_spri,25,1.12,0.069902938,-1.155504571,920.7605552,270,3140,standard MR,69
460,air-breather,Tupinambis merianae,Salvator merianae,tmer_tol_spri,30,1.13,0.104196874,-0.98214531,920.7605552,270,3140,standard MR,69
461,air-breather,Sceloporus occidentalis,Sceloporus occidentalis,socc_daw,20,0.54,0.337821276,-0.471313002,5.549747688,2,15.3998497,NA,16
462,air-breather,Sceloporus occidentalis,Sceloporus occidentalis,socc_daw,30,0.64,0.900548075,-0.045493098,5.577858725,1.881270625,16.53802889,NA,16
463,air-breather,Sceloporus occidentalis,Sceloporus occidentalis,socc_daw,35,0.57,1.074626462,0.031257531,6.306192339,2.433994585,16.33859913,NA,16
464,air-breather,Sceloporus occidentalis,Sceloporus occidentalis,socc_daw,40,0.68,1.46244091,0.165078327,5.443603869,1.790885745,16.54646208,NA,16
465,air-breather,Lygosoma laterale,Scincella lateralis,llat_huds,18.5,0.402,0.194841797,-0.710317874,0.709010234,0.28859219,1.741888828,NA,38
466,air-breather,Lygosoma laterale,Scincella lateralis,llat_huds,30,0.633,0.505981267,-0.295865562,0.671965469,0.34666649,1.302512946,NA,38
467,air-breather,Lygosoma laterale,Scincella lateralis,llat_huds,36,0.795,0.597429865,-0.223713071,0.796430453,0.445318859,1.424375938,NA,38
468,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_spri,20,0.52,0.119596016,-0.922283287,14.49137675,1.5,140,resting,86
469,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_spri,25,0.57,0.180207224,-0.744227803,14.49137675,1.5,140,resting,86
470,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_spri,30,0.56,0.27174471,-0.565838901,14.49137675,1.5,140,resting,86
471,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_spri,35,0.57,0.385276212,-0.414227805,14.49137675,1.5,140,resting,86
472,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_spri,40,0.6,0.537781038,-0.269394515,14.49137675,1.5,140,resting,86
473,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_sum,20,0.51,0.133692061,-0.873894382,14.49137675,1.5,140,resting,86
474,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_sum,25,0.52,0.222698203,-0.652283287,14.49137675,1.5,140,resting,86
475,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_sum,30,0.57,0.306035774,-0.514227804,14.49137675,1.5,140,resting,86
476,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_sum,35,0.56,0.375112122,-0.425838901,14.49137675,1.5,140,resting,86
477,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_sum,40,0.61,0.565218778,-0.247783418,14.49137675,1.5,140,resting,86
478,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_aut,20,0.44,0.113456124,-0.945172057,14.49137675,1.5,140,resting,86
479,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_aut,25,0.44,0.17572273,-0.755172058,14.49137675,1.5,140,resting,86
480,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_aut,30,0.46,0.261848527,-0.581949865,14.49137675,1.5,140,resting,86
481,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_aut,35,0.49,0.361312864,-0.442116576,14.49137675,1.5,140,resting,86
482,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_aut,40,0.54,0.59011806,-0.229061094,14.49137675,1.5,140,resting,86
483,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_wint,20,0.43,0.107948558,-0.966783155,14.49137675,1.5,140,resting,86
484,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_wint,25,0.41,0.169822274,-0.770005348,14.49137675,1.5,140,resting,86
485,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_wint,30,0.45,0.23792443,-0.623560962,14.49137675,1.5,140,resting,86
486,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_wint,35,0.46,0.334233621,-0.475949866,14.49137675,1.5,140,resting,86
487,air-breather,Mabuya brevicollis,Trachylepis brevicollis,mbrev_zari_wint,40,0.5,0.494873867,-0.30550548,14.49137675,1.5,140,resting,86
488,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_sum,20,0.83,0.041542809,-1.381504141,48.48515237,14.2,165.55,standard MR,87
489,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_sum,25,0.779,0.069291017,-1.159323064,49.94795291,14.2,175.69,standard MR,87
490,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_sum,30,0.763,0.128991195,-0.889439934,48.48515237,14.2,165.55,standard MR,87
491,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_sum,35,0.754,0.163762323,-0.78578601,49.94795291,14.2,175.69,standard MR,87
492,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_sum,40,0.761,0.225361484,-0.647120306,51.52368387,14.2,186.95,standard MR,87
493,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_aut,20,0.714,0.031732522,-1.49849541,63.475192,21.5,187.4,standard MR,87
494,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_aut,25,0.725,0.059338046,-1.226666759,63.475192,21.5,187.4,standard MR,87
495,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_aut,30,0.794,0.102497416,-0.989287083,63.475192,21.5,187.4,standard MR,87
496,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_aut,35,0.765,0.13881532,-0.857562601,63.475192,21.5,187.4,standard MR,87
497,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_aut,40,0.755,0.221009712,-0.655588641,63.475192,21.5,187.4,standard MR,87
498,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_wint,20,0.749,0.024752992,-1.606372299,80.54940099,34.7,186.98,standard MR,87
499,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_wint,25,0.762,0.049023748,-1.309593489,80.54940099,34.7,186.98,standard MR,87
500,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_wint,30,0.759,0.076857867,-1.114311672,80.54940099,34.7,186.98,standard MR,87
501,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_wint,35,0.758,0.10734511,-0.969217735,80.54940099,34.7,186.98,standard MR,87
502,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_wint,40,0.729,0.155062384,-0.809493543,80.54940099,34.7,186.98,standard MR,87
503,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_sprin,20,0.738,0.029946294,-1.523656916,87.42324634,40.74,187.6,standard MR,87
504,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_sprin,25,0.755,0.054619881,-1.26264925,87.42324634,40.74,187.6,standard MR,87
505,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_sprin,30,0.747,0.106125007,-0.974182268,87.42324634,40.74,187.6,standard MR,87
506,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_sprin,35,0.712,0.138950716,-0.857139211,87.42324634,40.74,187.6,standard MR,87
507,air-breather,Uromastyx philbyi,Uromastyx ornata,uphi_zari_sprin,40,0.763,0.199014061,-0.701116238,87.42324634,40.74,187.6,standard MR,87
508,air-breather,Uta stansburiana,Uta stansburiana,usta_daw,20,0.64,0.525675042,-0.279282642,3.892523233,2.400287182,6.312468455,NA,16
509,air-breather,Uta stansburiana,Uta stansburiana,usta_daw,30,0.47,0.903911205,-0.04387423,3.893273878,2.402424286,6.309285822,NA,16
510,air-breather,Uta stansburiana,Uta stansburiana,usta_daw,35,0.54,0.967339421,-0.014421114,4.200989905,2.727219333,6.471175958,NA,16
511,air-breather,Uta stansburiana,Uta stansburiana,usta_daw,40,0.55,1.69727596,0.22975246,3.895251949,2.408485674,6.299804027,NA,16
512,air-breather,Varanus acanthurus,Varanus acanthurus,vaca_thom,25,0.9597,0.079954141,-1.097159038,40.33360881,19.6,83,standard MR,66
513,air-breather,Varanus acanthurus,Varanus acanthurus,vaca_thom,35,1.2588,0.159036198,-0.798504015,40.33360881,19.6,83,standard MR,66
514,air-breather,Varanus acanthurus,Varanus acanthurus,vaca_thom,45,0.8497,0.278880136,-0.554582418,40.33360881,19.6,83,standard MR,66
515,air-breather,Varanus caudolineatus,Varanus caudolineatus,vcau_thom_aja,25,0.8084,0.054272774,-1.26541798,6.690291473,3.73,12,standard MR,66
516,air-breather,Varanus caudolineatus,Varanus caudolineatus,vcau_thom_aja,35,0.899,0.085419146,-1.068444775,6.690291473,3.73,12,standard MR,66
517,air-breather,Varanus caudolineatus,Varanus caudolineatus,vcau_thom_aja,40,0.7615,0.159106898,-0.798310991,6.690291473,3.73,12,standard MR,66
518,air-breather,Varanus caudolineatus,Varanus caudolineatus,vcau_thom_atl,35,0.9901,0.220322,-0.656942135,13.82389236,9.8,19.5,standard MR,66
519,air-breather,Varanus caudolineatus,Varanus caudolineatus,vcau_thom_atl,40,1.078,0.304101,-0.516982152,13.82389236,9.8,19.5,standard MR,66
520,air-breather,Varanus exanthematicus,Varanus exanthematicus,vexan_wood,25,0.57,0.06331672,-1.198481591,1135.781669,172,7500,resting (standard),76
521,air-breather,Varanus exanthematicus,Varanus exanthematicus,vexan_wood,35,0.51,0.154133398,-0.812103247,1135.781669,172,7500,resting (standard),76
522,air-breather,Varanus giganteus,Varanus giganteus,vgig_thom,25.9,0.897,0.065451,-1.184083714,685.857128,84,5600,standard MR,67
523,air-breather,Varanus giganteus,Varanus giganteus,vgig_thom,34.7,0.961,0.139456,-0.855562796,685.857128,84,5600,standard MR,67
